,content,like,link,title
26,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DwJAmpBVU0HWH4Z_N_8RfDOeMhFKYJiPRpnyg6LLHuPLkNgOo11i9V-bLs0ftKCWa4TLeb9bLmsFo2JjkdouuC257hV7LYNSwbGwfQFn2O2tF1k9H0i5RDHKRhto739PW9iZm9R4Iw9sPE6oygewO2FHMMJ4sG1wuGX2KChGefCJuWX0fD9hijCxJMLtYu39jc4HUc4EiGJt0OBMPolQU7fgg5AC4aDlOG17EXHw_g41TU7Arim_1kD-UFbju8CPpH_ZUZwpfttHJaFLFpjY3xmZWsVASlBYtSkmqrZam9EmfbxhleExIFD3UfK0Y9IuJ_bxkS6nERR8-xTIIsvcljokuVYg-t60BVrSJqehb7v9A0XTAvxQtefmimAiYjZnGi2_IRNGIpcqRhDzE6GTjNzxgiyWrqiHIzsTduCuwWX555vIekdSIYQkPLy-uH7AOulwHJapyF5qpwhEtENYb6d1HVThVGPW18FCy-ALkvjuTrDP7RjSMj&p=0&fvj=0&vjs=3,Manager - Data and Analytics
27,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CNcpJbx75BWsvBL9R7x7Y_VD3CTIput4kyPakBFyE1nhmQ6JjQgOug7hhy2hUH7d0gUlN6QiruGrIcw_U3avwJM9xJNc7NjhAKJ1qU1ejH_kV_MsSx4sXCtcWEALDEQALVBVDl0j5BELtDT9C14VHdJZy3LjT_ZxQFA6Lo413xxxwZ0Nww1VzmFgQ0B5wAJHWveoRQrmjPpdrdrzGby_JEcEpzQnVlbwPPRgCi1q1jzPqNDe-ksDK7UUJY6gWGWrj-pSW0dshG-Xz-LcmSCzXz32J11b577upZcdLBvyGOOtx_eReX6aRbEEQnWKyOwv9U8yDwywiwgt3H77LwrSMJqmpfdsDC_HvZ6pOWPaL_R9wvDdOMH3d3NYMIoYvsCTJTbMBJhCPiL39R7YtScFyRFxunuJE5bDMRkIX32g43D9DmEnprvUp6BU7e_1ZXcQXOa8BIZBuor6AjQbs7OIToT3hXTU61WCUYautCd2CCg0-LBkAuFYUAHMXnPn_t284=&p=1&fvj=1&vjs=3,"Summer Camp Instructors - Ableton, Java, AI & Data Science,..."
28,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AzSn2Srz3juBjm3uZH_ze3C3LrHWmDf4-FYXsVxBdLrIGMqZdXpvXiZCNVdNUaXRETvfj30DSHqvNbf5vk6yM-NAh7Lqh5NIUmderZsn-sZErzEvR6PuMklsOGBZnkKgwdImVujWTLQOZap_az_ZP9Tiag3uuH7EjoT7TFtjxEEVu6ziS79TCPVANp7zhjdHYHctBciflilhAyv86yeiM-e2dzJwT3t8D9Wsu3LcNp7TxPdHakogObrvS-bJrB_aePjL2qGXdlTnDCsBfHKlKzLpVxeaLfps8Xx6qARu0tqBm4u9mEb46wWZ84jgbAEx4vKsHjSC5vsWv7iR_zBqtZ0lZVhACm3U43KSzVQn0YiQuV9rtwRV-SZFwyUezVn6pIstUT5A-vOV27xwlPUPFfcBhhZCLozqYTTfUMpNQdm3aEZLv2RWHbh6CuuP_cCef53YWV1P9Ek-Al4Nhd6mjEV4BLm95JRsY-lBlbcg5qiKt4QkN5eX-B2gFZJvTMuvrzM-Rs5UEE1v479AhjEuEwm_EgseBv1RVinSb-ras3sQ_uJjq80vVUCKhN8ylFfK3q8aQX4HT8yw==&p=2&fvj=0&vjs=3,Data Engineer
29,,0.0,https://www.indeed.ca/rc/clk?jk=e9a048a37ab3e8f2&fccid=0e94073a1c937bd1&vjs=3,Product Manager - Experimentation
30,,0.0,https://www.indeed.ca/rc/clk?jk=a0e1b30e7d1cddbf&fccid=a86824e95be9d0db&vjs=3,Systems Administrator
31,,0.0,https://www.indeed.ca/rc/clk?jk=1538beae6ef4e323&fccid=147229ef59343574&vjs=3,CRM & Sales Operations Specialist
32,,0.0,https://www.indeed.ca/company/Toronto-Artscape-Inc./jobs/Salesforce-Developer-5a853ace2b318fb4?fccid=cc88f355bf2890ee&vjs=3,Salesforce Developer
33,,0.0,https://www.indeed.ca/rc/clk?jk=57a5e14b3b4b1b49&fccid=986361104086c3ae&vjs=3,"Associate Director, Strategy and Operations"
34,,0.0,https://www.indeed.ca/rc/clk?jk=c841886be109a545&fccid=b46df65bdf7d0cc6&vjs=3,BI Specialist
35,,0.0,https://www.indeed.ca/rc/clk?jk=8f9c73945b282c03&fccid=f2087b51205d4920&vjs=3,SIGN BUILDING CODE EXAMINER INSPECTOR
